Municipality,District,8:00,10:00,12:00,2:00,4:00,6:00
Boonton,1-1,,78,,,,
Boonton,1-2,,120,,,,
Boonton,2-1,,63,,,,
Boonton,2-2,,79,,,,
Boonton,3-1,,,,,92,121
Boonton,3-2,,,,,173,228
Boonton,4-1,,,,,157,204
Boonton,4-2,,,,,225,273
Chatham Boro,1,28,56,,,,
Chatham Boro,2,54,102,134,165,192,
Chatham Boro,4,,,,,137,179
Chatham Boro,6,21,69,,,,
Chatham Boro,8,46,96,124,156,,
Chatham Boro,9,,,,,79,100
Chatham Twp,1,,50,78,106,,
Chatham Twp,2,19,105,,,,
Chatham Twp,3,33,76,112,,,
Chatham Twp,4,,75,97,,,
Chatham Twp,5,35,60,,,,
Chatham Twp,6,39,,,100,,
Chatham Twp,8,38,74,121,,,
Chatham Twp,9,16,50,89,,,158
Chatham Twp,10,41,109,166,,,
Chester Boro,1,,120,186,223,271,337
Chester Twp,1,25,70,115,144,179,
Chester Twp,2,47,101,200,282,357,431
Chester Twp,3,34,,176,241,313,351
Chester Twp,4,40,80,125,172,219,
Chester Twp,5,51,108,176,227,286,350
Dover,1-1,,,47,,,130
Dover,1-2,,,77,,,190
Dover,1-3,,,90,,,221
Dover,2-1,,,,,,208
Dover,2-2,,,,,,188
Dover,2-3,,,,,,206
Dover,3-1,,,117,,,242
Dover,3-2,,,96,,,214
Dover,3-3,,,132,,,277
Dover,4-1,,,64,,,159
Dover,4-2,,,51,,,140
Dover,4-3,,,30,,,109
Florham Park,All,,597,,,,
Harding,1,21,,,,,
Harding,2,21,,98,,168,
Harding,3,,,,,177,
Harding,4,19,64,102,132,169,
Mendham Boro,1,30,88,132,171,196,244
Mendham Boro,2,22,57,91,116,151,181
Mendham Boro,3,25,74,111,147,199,236
Mendham Boro,4,30,89,123,158,191,240
Mendham Boro,5,26,74,140,176,223,262
Mendham Twp,1,48,91,117,150,195,
Mendham Twp,2,54,118,,,,
Mendham Twp,3,28,60,95,127,173,
Mendham Twp,4,26,73,112,164,192,
Mendham Twp,5,37,82,134,180,234,
Morris Plains,1,29,89,134,171,201,232
Morris Plains,2,41,86,124,165,199,238
Morris Plains,3,27,66,106,140,140,202
Morris Plains,4,32,72,115,149,189,229
Morris Plains,5,28,69,121,153,186,232
Morris Plains,6,33,70,109,136,166,204
Morris Twp,3,,,,61,,
Morris Twp,4,25,62,,,166,
Morris Twp,5,30,54,83,104,140,164
Morris Twp,7,36,115,166,240,,
Morris Twp,10,40,102,170,216,268,
Morris Twp,11,28,,,,,
Morris Twp,12,36,69,106,123,149,
Morris Twp,13,27,,,,,229
Morris Twp,14,24,64,105,,,
Morris Twp,16,40,98,147,186,,272
Morris Twp,17,,,82,104,,131
Morris Twp,18,27,63,96,133,172,208
Morris Twp,19,42,80,122,,,233
Morris Twp,20,28,67,99,128,164,217
Morris Twp,21,28,,85,,,
Morris Twp,22,46,62,,,,206
Morris Twp,23,,,91,118,140,187
Parsippany,4,13,35,,106,,
Parsippany,5,51,,171,222,269,312
Parsippany,6,,,,135,,
Parsippany,7,,,98,,,
Parsippany,8,,,100,142,,
Parsippany,9,,,83,,,
Parsippany,10,,58,85,,,
Parsippany,12,,65,115,,,
Parsippany,18,,,,,,215
Parsippany,21,,,52,,,
Parsippany,25,,,,,185,250
Parsippany,27,,67,,,170,213
Parsippany,28,,,57,,,
Parsippany,32,21,52,77,,,
Parsippany,37,,,68,,,
Randolph,1,,81,114,141,175,
Randolph,2,,53,78,108,137,
Randolph,3,,39,79,114,138,
Randolph,4,,54,85,129,188,
Randolph,5,,45,76,113,121,
Randolph,6,,34,70,93,128,
Randolph,9,,73,108,150,166,
Randolph,10,,74,105,124,175,
Randolph,11,,59,104,128,168,
Randolph,12,23,,,,,
Randolph,13,35,,,,,
Randolph,14,20,,,,,
Randolph,15,,48,65,94,118,
Randolph,16,,71,107,131,172,
Randolph,17,,94,155,192,241,
Randolph,18,,80,133,178,210,
Randolph,19,,48,71,101,123,
Roxbury,4-1,,,100,,,
Roxbury,4-2,,,,86,,
Roxbury,4-3,,,92,,,
Roxbury,4-4,,,71,,,
Roxbury,4-5,,,,108,,
Roxbury,4-6,,,101,,,
Roxbury,3-2,,,,,,142
Roxbury,3-4,,,,,,163
Roxbury,3-6,,,,,,195
Roxbury,1-2,,,,,,228
Roxbury,1-3,,,,,,203
Roxbury,1-4,,,,,,183